PART_NO,car
4G43-10C650-DB,2
4G43-10C650-FA,2
4G43-10C650-FA,3
4G43-10C650-FB,3
4G43-10D916-AA,2
4G43-10D916-AA,3
4G43-10E887-BA,2
4G43-10E887-BB,2
4G43-10E887-BB,3
4G43-10E887-BD,2
4G43-10E887-BD,3
4G43-10E887-EA,2
4G43-10E887-EA,3
4G43-10E887-EB,2
4G43-10E887-EB,3
4G43-10E887-EC,2
4G43-10E887-EC,3
4G43-10E887-ED,2
4G43-10E887-ED,3
4G43-10E887-EH,3
4G43-10E887-EJ,3
4G43-10E889-AA,2
4G43-10E894-AA,2
4G43-10E894-AA,3
4G43-10E894-AB,3
4G43-10E894-AC,3
